epoch,train_auc,train_accuracy,train_loss,valid_auc,valid_accuracy,valid_loss
0,0.7309726803401996,0.6918251667980504,7.0959875743091825,0.7617024914442067,0.7106345829654009,6.66288477348422
1,0.776186492572774,0.7212609262233975,6.418204184431463,0.7756104587485191,0.7210463996146744,6.423143842008434
2,0.7886496609271634,0.7306087472397087,6.20296265711589,0.7908377843527494,0.7348759733483182,6.104706147559776
3,0.799256658449441,0.739374665361963,6.001119938725689,0.7919328509735297,0.7359015011640042,6.081092497601386
4,0.8013574864115396,0.7409186090057017,5.965569323519468,0.7922432539184033,0.736292847395039,6.072081417871668
5,0.8037807396847445,0.7428854177105695,5.920281880720273,0.7926341783275485,0.7362988681062856,6.071942785875827
6,0.8058148033489763,0.7439182267080847,5.896500575359103,0.7935137163903347,0.7371538091033154,6.052257042466288
7,0.8065954434508334,0.7450079976254473,5.871407673358957,0.7911146243724458,0.7334350164566107,6.137885405231251
8,0.8099727019105921,0.7473786780038225,5.816820741866775,0.7911748663588376,0.7354579754354981,6.0913050546284
9,0.8105325685917506,0.7475156631273495,5.813666542919662,0.7891361390601048,0.7337822108051698,6.129890960137707
10,0.814685623869915,0.7510530724802551,5.732214684723914,0.7888081394415187,0.7337521072489364,6.130584120116915
11,0.8159035694515135,0.751731796448425,5.7165864882405115,0.7883906366925625,0.7330236011880871,6.147358591613775
12,0.8195841863927957,0.7547918056694682,5.646127174012329,0.7877479680583789,0.7322308742072731,6.1656118043996155
13,0.8202350150090753,0.7550780806846933,5.639535448368265,0.7869680693139962,0.7320622942923657,6.169493500283186
14,0.8192003039116991,0.7542715319272016,5.658106919314711,0.785412022756152,0.7309263867704905,6.195648736832009
15,0.822690058371979,0.7571703700089603,5.591358707611732,0.7868746334340206,0.731823472746247,6.174992569451578
16,0.825247264722036,0.7592494159320946,5.543486907427089,0.7873076036086692,0.7324094886409248,6.161499055189641
17,0.8265174250116778,0.7603134122794878,5.5189874868165,0.7869898433864683,0.7320502528698724,6.16977076427487
18,0.8283536449932227,0.7620483496716619,5.479039078151332,0.7869313020610981,0.7315986995263707,6.180168163963006
19,0.8292073754161262,0.7623179762961829,5.472830695859289,0.786663557730574,0.7313960022477322,6.1848354411563475
20,0.8307131309510086,0.7638487945311186,5.437582304351243,0.7871827252158649,0.7319077627037007,6.173051721509792
21,0.8314852743910722,0.7645241449879445,5.422031785835021,0.7865015853664251,0.7310247250541864,6.193384414233259
22,0.8325674115005852,0.7652921404279602,5.404348037805192,0.7851757828407004,0.7298266035160954,6.220972181405782
23,0.8333954424705169,0.7662919895959186,5.3813256605451825,0.7856190234898301,0.7308902625030104,6.196480528807061
24,0.8337649071758602,0.7663667398806002,5.379604471680517,0.7844155906653895,0.7293429397126114,6.232108951738407
25,0.8336049092041857,0.7663271344987617,5.380516419273649,0.7859637397965116,0.7311351047603757,6.190842827642826
26,0.8356234271733217,0.7680345336032287,5.341202103098631,0.7857995103604576,0.7311351047603757,6.190842827642826
27,0.8361299002624754,0.7687004774197459,5.325868180473946,0.7859421819396695,0.7307196756843541,6.200408435355912
28,0.8372581928755173,0.7692930335101074,5.312224072645287,0.7853879123008937,0.7310066629204464,6.193800310220785
29,0.838141320151498,0.769853356117062,5.299322168180075,0.7854476626421385,0.7306514409568917,6.201979597975452
30,0.8389547169212414,0.7705760299714338,5.282681988196461,0.7859380984757468,0.7308300553905435,6.197866848765479
31,0.8392030408932181,0.7707503683185435,5.278667699515058,0.7860236489521688,0.7310227181504375,6.19343062489854
32,0.8400559893790271,0.7718352250685485,5.253687950396816,0.7848044696033942,0.7301095769446897,6.214456477601216
33,0.8407976162340584,0.7722177332915588,5.244880373316783,0.7847918847608729,0.7299670867785181,6.217737434836139
34,0.8407982143009706,0.7725156307974985,5.238021029941456,0.7850297616662171,0.7303624468170506,6.20863393377586
35,0.8420287726956743,0.7732648966696426,5.220768546137549,0.7843404295203092,0.7298888175323112,6.219539650782083
36,0.8425904106643015,0.7739582653005351,5.204803143842663,0.7831121231503171,0.7290720077065104,6.238347391551289
37,0.8430222744416034,0.7744213388586394,5.1941404814177075,0.7833381261388181,0.7293589949426026,6.231739266416163
38,0.8431324163746592,0.7743296733419831,5.196251157881544,0.7834980220675695,0.7295175403387654,6.228088623858995
39,0.8440842885183798,0.7750542396444406,5.179567402671613,0.7832723538538257,0.729639961467448,6.225269773276878
40,0.8426518510161218,0.773772423441834,5.209082310659849,0.7829089784386369,0.7291422493377218,6.236730018266468
41,0.8422473617800285,0.7735743749917632,5.213642544622537,0.7807506760941597,0.7263566669342538,6.30087042167595
42,0.8437888228657593,0.7748150483410247,5.185074985816181,0.7820272816960245,0.7286284819780043,6.248559948578303
43,0.8452513703078179,0.7761010161197619,5.155464484257472,0.7820640942656729,0.728307377378181,6.255953655023201
44,0.8456165080995703,0.7762448265366224,5.152153127127834,0.7820732388006104,0.7288291723528939,6.243938882050243
45,0.8464863698489542,0.7771045105756434,5.132358171143456,0.7822483280916073,0.728500040138075,6.2515174311562625
46,0.8467495810461393,0.7770647667096319,5.133273307452424,0.7803934812970218,0.7272878702737416,6.279428672985748
47,0.8474377435234994,0.7778790210094735,5.114524409841381,0.7813199194468619,0.7271313317813277,6.283033104877636
48,0.8475512247446136,0.7778794327782707,5.114514928514699,0.7811226440468597,0.7278899413984106,6.265565473401566
